Predicate	Abstraction
are_abused_by	<damage_with:abuse&abusing
are_aged_by	<damage_with:wrinkle&aging
are_assaulted_by	<damage_with:assault&assaulting
are_attacked_by	<damage_with:attack&attacking
are_betrayed_by	<damage_with:betrayal&betraying
are_bitten_by	<damage_with:teeth&biting
are_bruised_by	<damage_with:bruise&bruising
are_corrupted_by	<damage_with:corruption&corrupting, <imbue_with:greed&corrupting
are_crippled_by	<damage_with:paralysis&crippling
are_crucified_by	<damage_with:crucifixion&crucifying
are_damaged_by	<damage_with:malice&damaging
are_deflowered_by	<damage_with:fornication&deflowering
are_deranged_by	<damage_with:madness&deranging
are_driven_mad_by	<damage_with:frustration&enraging
are_harassed_by	<damage_with:harassment&harassing
are_hurt_by	<damage_with:pain&hurting
are_infected_by	<damage_with:infection&infecting
are_injured_by	<damage_with:injury&injuring
are_insulted_by	<damage_with:insult&insulting, <communicate_to:insult*&insulting, <propel_at:insult*&insulting
are_maimed_by	<damage_with:disfigurement&maiming
are_mistreated_by	<damage_with:abuse&mistreating
are_overcome_by	<damage_with:persistence&overcoming
are_persecuted_by	<damage_with:persecution&persecuting
are_polarized_by	<damage_with:polarization&polarizing
are_punished_by	<damage_with:punishment&punishing, <control_with:punishment&disciplining
are_savaged_by	<damage_with:savagery&savaging
are_scarred_by	<damage_with:disfigurement&scarring
are_sickened_by	<damage_with:disgust&sickening
are_spoiled_by	<damage_with:indulgence&spoiling
are_tarnished_by	<damage_with:stain&tarnishing
are_tortured_by	<damage_with:torture&torturing
are_traumatized_by	<damage_with:trauma&traumatizing
are_twisted_by	<damage_with:evil&twisting
are_victimized_by	<damage_with:persecution&victimizing
are_whipped_by	<damage_with:whip&whipping
are_wounded_by	<damage_with:wound&wounding
fall_off	<damage_with:fall&throwing
are_punished_for	^damage_for:punisher&punishing
are_infested_with	<damage_with:infestation&infesting
are_punished_with	^damage_with:punisher&punishing
undermine_with	damage_with:rival*&undermining
are_cheated_by	<deceive_with:fraud&cheating
are_deceived_by	<deceive_with:deception&deceiving, <control_with:deception&deceving
are_fooled_by	<deceive_with:foolery&fooling, <control_with:foolery&fooling
are_tricked_by	<deceive_with:trickery&tricking, <control_with:trickery&tricking
are_deposed_by	<stop_with:unseating&deposing
are_toppled_by	<stop_with:force&toppling
are_deployed_by	<deploy_with:mission&deploying
are_dispatched_by	<deploy_with:purpose&dispatching
are_fielded_by	<deploy_with:field_position&fielding
are_installed_by	<deploy_with:authority&installing, <deploy_as:instrument&installing
appear_in	perform_for:appearance&appearing
are_cast_in	perform_for:role&acting
are_deployed_in	^deploy_with:dispatcher&dispatching
are_deployed_on	^deploy_with:dispatcher&deploying
are_sent_on	^deploy_with:sender&sending
are_killed_by	<damage_with:death&killing, <stop_with:death&killing
are_ruined_by	<damage_with:destruction&ruining, <stop_with:ruination&ruining
are_smashed_by	<damage_with:destruction&smashing
blow_up	<damage_with:explosion&blowing_up
are_anointed_by	<appoint_with:blessing&anointing
are_canonized_in	<appoint_with:sainthood&canonizing
are_deified_by	<appoint_with:godhood&deifying
are_elected_by	<appoint_with:election&electing
are_elevated_by	<appoint_with:authority&elevating, <imbue_with:statue&elevating
are_ennobled_by	<appoint_with:nobility&ennobling, <imbue_with:nobility&ennobling
are_promoted_by	<appoint_with:promotion&promoting
rise_through	obtain_with:advancement&rising
are_dressed_by	<enhance_with:fashion&dressing
are_hardened_by	<enhance_with:hardship&hardening, <imbue_with:cynicism&hardening
are_strengthened_by	<enhance_with:strength&strengthening
develop_via	<enhance_with:experience&developing
gain_experience_in	<enhance_with:experience&developing
cultivate	<enhance_with:cultivation&cultivating
are_inoculated_with	<enhance_with:inoculation&inoculating
are_exploited_by	<control_with:opportunism&exploiting
are_overworked_by	<control_with:demand&overworking
are_pushed_too_far_by	<control_with:demand&pushing
are_underpaid_by	<control_with:stinginess&underpaying, <!respect_as:paid_worker&underpaying
are_defrauded_by	<control_with:fraud&defrauding, <deceive_with:fraud&defrauding
are_healed_by	<fix_with:cure&healing
are_treated_by	<fix_with:treatment&treating
are_cured_of	^<fix_for:healer&curing
are_treated_for	^<fix_for:therapist&treating
are_treated_in	<fix_with:treatment&treating
receive_treatment_in	<fix_with:treatment&treating
are_treated_with	^fix_with:therapist&treating
are_studied_in	<perform_of:study&studying
are_studied_by	^<inform_about:teacher&teaching, <perform_of:study&studying
are_forgiven_by	<provide_to:forgiveness*&forgiving
are_freed_by	<provide_to:freedom*&freeing
are_liberated_by	<provide_to:liberty*&liberating
are_released_by	<provide_to:release*&releasing
are_forgiven_for	^<fix_for:forgiver&forgiving
are_frequented_by	<propel_to:self*&frequenting
are_received_by	<respect_as:welcome_guest&receiving
are_visited_by	<propel_to:self*&visiting
are_assisted_by	<provide_to:assistance*&assisting
are_counseled_by	<provide_to:counsel*&counselling
are_helped_by	<provide_to:help*&helping
are_eluded_by	seek_without:success&losing, !catch_with:ease&losing
are_committed_to	<fix_for:madness&committing
are_detained_by	<hold_in:detention&detaining
are_held_by	<hold_in:grasp&holding
are_imprisoned_by	<hold_in:prison&imprisoning
are_imprisoned_for	^hold_for:prison&imprisoning
are_incarcerated_for	^hold_for:prison&incarcerating
are_jailed_for	^hold_for:jail&jailing
serve_time_for	^hold_for:jail&jailing
are_held_in	^hold_in:captor&holding
are_imprisoned_in	^hold_in:jailer&imprisoning
are_branded_with	^identify_with:owner&branding
are_covered_in	^identify_with:observer&uncovering
are_depicted_with	^identify_with:illustrator&depicting
are_identified_by	^identify_with:onlooker&identifying
are_impressed_by	respect_for:achievement&being_impressed, <imbue_with:respect&impressing
are_guided_by	<provide_to:guidance*&guiding, <control_with:guidance&guiding
are_indoctrinated_by	<provide_to:indoctrination*&indoctrinating, <control_with:doctrine&indoctrinating
are_influenced_by	<provide_to:influence*&influencing, <control_with:influence&influencing
are_inspired_by	<provide_to:inspiration*, <imbue_with:inspiration
are_mentored_by	<provide_to:mentoring*&mentoring
are_nurtured_in	<provide_to:nurture*&nurturing
are_radicalized_in	<provide_to:radical_worldview*&radicalizing, <imbue_with:radical_worldview&radicalizing
are_shaped_by	<provide_to:shape*&shaping, <control_of:shape*&shaping
vote_in	<provide_to:vote*&voting, communicate_about:vote*&voting
are_manipulated_with	^control_with:manipulator&manipulating
are_manipulated_by	<control_with:manipulation&manipulating
are_informed_by	<inform_with:information&informing, <enhance_with:information&informing
are_instructed_by	<inform_with:instruction&instructing
are_taught_by	<inform_with:instruction&teaching, <enhance_with:knowledge&teaching
are_tutored_by	<inform_with:instruction&tutoring
learn_from	<inform_with:wisdom&teaching, <enhance_with:wisdom&teaching
learn_via	<inform_with:educational_value&teaching
listen_to	<inform_with:speech&speaking
read	<inform_with:text&being_read
read_in	<inform_with:collection&being_read
study_in	<inform_with:educational_content&teaching
study_using	<inform_with:educational_content&facilitating
learn	obtain_from:competence&learning
learn_about	obtain_from:understanding&learning, ^inform_about:teacher&teaching
are_educated_in	<inform_with:education&educating
are_taught_in	<inform_with:education&teaching
learn_in	<inform_with:educational_content&teaching
study_under	<inform_with:knowledge&teaching
are_conscripted_into	enter_as:conscript&being_conscripted
are_drafted_into	enter_as:draftee&being_drafted
are_drawn_into	<attract_with:inevitability&drawing_in
are_forced_into	<attract_with:force&forcing, <control_with:force&forcing
are_inducted_into	<attract_with:ritual&inducting, enter_as:new_member&joining
are_infiltrated_by	<enter_as:spy&infiltrating
are_initiated_into	enter_as:initiate&being_initiated
enlist	<enter_as:enlisted_member&enlisting
are_owed_by	<provide_to:IOU*
are_bugged_by	<observe_with:listening_device&bugging
are_guarded_by	<observe_with:oversight&guarding
are_monitored_by	<observe_with:oversight&monitoring
are_observed_by	<observe_with:observation&observing
are_photographed_by	<observe_with:camera&photographing
are_spotted_by	<observe_with:opportunism&spotting
are_bought_off_by	<control_with:payoff&bribing
are_robbed_by	<obtain_from:belonging*&robbing
are_entertained_by	<perform_for:fun_activity*&entertaining
are_convinced_by	<control_with:conviction&convincing
are_lobbied_by	<communicate_to:special_interest*, <control_with:political_pressure
are_persuaded_by	<control_with:persuasion
are_delighted_by	<imbue_with:delight&delighting
bask_on	<imbue_with:laziness&relaxing, perform_on:relaxation*&basking
enjoy	<imbue_with:joy&pleasing
get_high_on	<imbue_with:high&elevating
get_high_with	<imbue_with:high&elevating
indulge_in	<imbue_with:pleasure&delighting
relax_in	<imbue_with:calm&relaxing
relax_on	<imbue_with:calm&relaxing
celebrate	<imbue_with:joy&pleasing
are_marketed_by	<enhance_with:market_appeal&marketing
are_popularized_by	<enhance_with:popularity&popularizing
are_marketed_with	<enhance_with:brand_recognition&marketing
are_created_by	<produce_with:creativity&creating
descend_from	<produce_with:heritage&parenting
are_thrown_by	<propel_with:force&throwing
are_defended_by	<protect_with:dedication&defending
are_insured_by	<protect_with:insurance&insuring
are_protected_by	<protect_with:coverage&protecting
are_rescued_by	<protect_with:intercession&rescuing
are_saved_by	<protect_with:intercession&saving
are_shielded_by	<protect_with:shield&shielding
are_wrapped_in	<protect_with:covering&wrapping
are_preserved_in	<protect_with:preservation&preserving
are_sold_by	<provide_as:asset&selling
borrow_from	<provide_as:asset&lending
buy_from	<provide_as:asset&selling
import_from	<provide_as:resource&exporting
inherit_from	<provide_as:legacy&bequeathing
order_from	<provide_as:asset&fulfilling
rent_from	<provide_as:resource&renting
buy_at	<provide_as:asset&selling
are_supplied_by	<provide_to:supply*&supplying
collect_from	gather_from:due*&collecting, <provide_to:due*&contributing
are_awarded	^<provide_to:benefactor&awarding
borrow	^<provide_to:lender&lending
are_abandoned_by	<reject_with:abandonment&abandoning
are_banished_by	<reject_with:banishment&banishing
are_defrocked_by	<reject_with:excommunication&defrocking
are_disavowed_by	<reject_with:disavowal&disavowing
are_dismissed_by	<reject_with:dismissal&dismissal, <reject_as:appointee&dismissing
are_divorced_by	<reject_with:divorce&divorcing, <reject_as:partner&divorcing
are_dumped_by	<reject_with:breakup&dumping, <reject_as:possession&dumping
are_ejected_by	<reject_with:force&ejecting
are_evicted_by	<reject_with:eviction&evicting, <reject_as:tenant&evicting
are_exorcized_by	<reject_with:exorcism&exorcizing, <reject_as:influence&exorcizing
are_expelled_by	<reject_with:expulsion&expelling, <reject_as:member&expelling
are_fired_by	<reject_with:termination&firing, <reject_as:employee&firing
are_ignored_by	<reject_with:ignorance&ignoring, <reject_as:influence&ignoring
are_rebuffed_by	<reject_with:cold_shoulder&rebuffing, <reject_as:ally&rebuffing
are_refused_payment_by	<reject_to:payment*&refusing_payment, <reject_as:creditor&refusing_payment
are_rejected_by	<reject_with:rejection&rejecting
are_repelled_by	<reject_with:repulsion&repelling
are_scorned_by	<reject_with:contempt&scorning
are_shunned_by	<reject_with:contempt&shunning
are_silenced_by	<reject_with:gag&silencing
are_spurned_by	<reject_with:coldness&spurning, <reject_as:ally&spurning
flunk_out_of	<reject_for:failure&flunking, <reject_as:student&flunking
are_renounced_for	^reject_for:critic&renouncing
are_sentenced_for	^reject_for:judge&sentencing, ^hold_for:judge&sentencing
are_shunned_for	^reject_for:critic&shunning
are_barred_from	^reject_from:proprietor&banning
are_discharged_from	^reject_from:superior&discharging
are_dismissed_from	^reject_from:employer&dismissing
are_disqualified_from	^reject_from:judge&disqualifying
are_evicted_from	^reject_from:proprietor&evicting, <reject_as:tenant&evicting
are_excluded_from	^reject_from:central_figure&excluding
are_exiled_from	^reject_from:ruler&exiling
are_expelled_from	^reject_from:superior&expelling, <reject_as:member&expelling
are_fired_from	^reject_from:employer&firing
are_suspended_from	^reject_from:principal&suspending
are_toppled_from	^reject_from:usurper&toppling
are_booed_by	<reject_with:boo&booing, <communicate_to:disapproval*&booing
are_admired_by	<respect_with:admiration&admiring
are_celebrated_in	<respect_with:celebration&celebrating
are_complimented_by	<respect_with:compliment&complimenting, <communicate_to:compliment*&complimenting
are_flattered_by	<respect_with:flattery&flattering, <communicate_to:flattery*&flattering
are_respected_by	<respect_with:sincerity&respecting
are_venerated_by	<respect_with:veneration&venerating, <respect_as:idol&venerating
are_worshipped_by	<respect_with:worship&worshipping, <respect_as:divinity&worhipping
tower_over	<respect_with:awe&looking_up, !respect_as:equal&towerinr
are_celebrated_for	^respect_for:admirer&celebrating, ^identify_with:admirer&celebrating
are_famous_for	^respect_for:admirer&looking_up, ^identify_with:admirer&looking_up
are_worshipped_in	^respect_in:worshipper&worshipping
are_appeased_by	<control_with:appeasement&appeasing, obtain_from:payoff*&acquiescing
are_paid_by	<enhance_with:payment&paying
are_repaid_by	<enhance_with:repayment&repaying
are_rewarded_by	<enhance_with:reward&rewarding
are_tipped_by	<enhance_with:tip&tipping
benefit_from	<enhance_with:benefit&benefitting
live_off	<enhance_with:living_cost&supporting, obtain_from:living_cost*&supporting
profit_from	<enhance_with:profit&enriching
are_decorated_for	^enhance_for:superior&decorating
are_paid_for	^enhance_for:client&paying
are_rewarded_for	<enhance_for:benefactor&rewarding
charge_for	^enhance_for:client&paying, obtain_for:fee*&charging
are_rewarded_with	^enhance_with:admirer&rewarding
are_encouraged_by	<imbue_with:enthusiasm&encouraging
are_energized_by	<imbue_with:energy&energizing, <enhance_with:energy&energizing
are_fueled_by	<imbue_with:fuel&fuelling, <enhance_with:energy&fuelling
are_incited_by	<imbue_with:spark&inciting, <provide_to:motivation*&inciting
are_motivated_by	<imbue_with:motivation&motivating, <provide_to:motivation*&motivating
are_passionate_about	<imbue_with:passion&arousing
are_radicalized_by	<imbue_with:fundamentalism&radicalizing
are_roused_by	<imbue_with:excitement&rousing
are_woken_by	<imbue_with:consciousness&waking
are_inflamed_with	<imbue_with:fire&inflaming
are_chased_by	<seek_with:haste&chasing, <seek_as:target&chasing
are_followed_by	<seek_with:loyalty, <respect_as:influence&following
are_haunted_by	<seek_with:despair
are_hunted_by	<seek_with:hunt&hunting, <seek_as:prey&hunting
are_pursued_by	<seek_with:determination&pursuing, <seek_as:target&pursuing
are_stalked_by	<seek_with:obsession&stalking, <seek_as:obsession&stalking
are_tracked_by	<seek_with:close_observation&observation, <seek_as:elusive_prey&tracking
are_sought_for	^seek_for:seeker&seeking
are_wanted_for	^seek_for:judge&wanting
are_chosen_by	<select_with:choice&choosing, <select_as:preference&choosing
are_selected_by	<select_with:selection&selecting, <select_as:preference&selecting
are_assigned_to	^select_for:superior&assigning
are_elected_to	^select_for:electorate&electing
are_reelected_to	^select_for:electorate&reelecting
are_selected_for	^select_for:selector&select_for
are_arrested_by	<stop_with:arrest_warrant&arresting
are_beaten_by	<stop_with:force&beating
are_brought_down_by	^stop_with:rival&bringing_down
are_conquered_by	<stop_with:conquest&conquering
are_defeated_by	<stop_with:victory&defeating
are_deposed_in	^stop_with:rival&deposing, <stop_with:ruin&deposing
are_overthrown_by	<stop_with:overthrow&overthrowing
are_paralyzed_by	<stop_with:paralysis&paralyzing
are_supplanted_by	<stop_with:replacement&supplanting
are_thwarted_by	<stop_with:opposition&thwarting
are_toppled_in	^stop_with:enemy&toppling, <stop_with:upheaval&toppling
are_usurped_by	<stop_with:replacement&usurping
cede_power_to	provide_to:power*&ceding, <obtain_from:power*&gaining
die_from	<stop_with:death&killing, <damage_with:death&killing
lose_to	<stop_with:victory&defeating
surrender_to	<stop_with:victory&defeating
are_arrested_at	^stop_at:arresting_officer&arresting
are_arrested_for	^stop_for:arresting_officer&arresting
are_arrested_for_killing	^stop_for:arresting_officer&arresting
are_opposed_by	<oppose_with:opposition&opposing
are_nominated_for	^support_for:nominator&nominating, ^select_for:nominator&nominating
are_backed_by	<support_with:finance&backing
are_facilitated_by	<support_with:resource&facilitating
are_favored_by	<support_with:favor&favoring, <identify_as:favorite&favoring
are_financed_by	<support_with:finance&financing
are_funded_by	<support_with:finance&funding
are_supported_by	<support_with:support&supporting
sit_on	<support_with:authority&empowering
are_targeted_by	<seek_as:target&targetting, <identify_as:target&targetting
are_diagnosed_by	<evaluate_with:diagnosis&diagnosing
are_evaluated_by	<evaluate_with:checklist&evaluating
are_examined_by	<evaluate_with:examination&examining
are_investigated_by	<evaluate_with:investigation&investigating
are_judged_by	<evaluate_with:judgment&judging
are_reviewed_by	<evaluate_with:review&reviewing
are_tested_by	<evaluate_with:test&testing
are_tested_in	^evaluate_in:tester&testing
are_tested_on	^evaluate_in:superior&testing
are_assessed_on	^evaluate_for:assessor&assessing
are_graded_for	^evaluate_for:grader&grading
are_tried_for	^evaluate_for:judge&trying
are_diagnosed_with	^evaluate_with:diagnostician&diagnosing
are_scored_with	^evaluate_with:scorer&scoring
are_graded_by	<evaluate_with:grading_scheme&grading
are_missed_by	imbue_with:loss&saddening
are_profiled_by	^evaluate_with:profile&profiling, <produce_for:profile*&profiling
are_remembered_by	imbue_with:nostalgia&hooking, <hold_in:memory&remembering
mystify	imbue_with:confusion&mystifying, <imbue_with:mystery&wondering
are_intimidated_by	<oppose_with:intimidation&intimidating
are_shocked_by	<imbue_with:shock&shocking
are_terrorized_by	<imbue_with:terror&terrorizing, <damage_with:terror&terrorizing
are_threatened_by	<oppose_with:threat&threatening, <imbue_with:fear&threatening
fear	<imbue_with:fear&scaring, propel_from:self*&fearing
are_coached_by	<provide_to:instruction*&coaching, <enhance_with:instruction&coaching
are_drilled_by	<provide_to:instruction*&drilling, <enhance_with:instruction&drilling
are_trained_by	<provide_to:instruction*&training, <enhance_with:instruction&training
are_trained_for	^enhance_for:trainer&training
are_trained_in	<enhance_with:instruction&training
are_appreciated_by	<respect_with:appreciation&appreciating, imbue_with:appreciation&gratifying
are_thanked_by	<respect_with:gratitude&thanking, imbue_with:gratitude&gratifying
act_via	<perform_for:duty*&acting
are_represented_by	<perform_for:representation*&representing, <provide_for:representation*&representing, 
accept	^<provide_to:giver&giving, obtain_from:giver&accepting
are_converted_to	respect_as:religious_truth&converting, enter_as:convert&converting
believe_in	respect_as:truth&believing
buy_into	respect_as:reality&believing
pass	respect_as:success&passing
settle_for	respect_as:settlement&accepting
sign	respect_as:possibility&signing
soften_toward	respect_as:person&softening
take_out	respect_as:obligation&agreeing
tolerate	respect_as:reality&tolerating
trust	respect_as:confidante&trusting
volunteer_for	respect_as:duty&volunteering
warm_to	respect_as:friend&warming
welcome	respect_as:visitor&welcoming
afford	respect_as:possibility&affording
forgive	respect_as:wrongdoer&forgiving
are_covered_with	^identify_with:observer&uncovering
don	^identify_with:observer&recognizing
insert	provide_as:addition&inserting
put_on	enhance_with:self*&wearing
try_on	evaluate_for:wearability&trying
wear	enhance_with:self*&wearing
are_married_in	perform_in:marriage*&getting_married
marry_in	perform_in:marriage*&getting_married
agree_with	respect_as:viewpoint&agreeing
align_with	respect_as:faction&aligning
commit_to	respect_as:master&committing, <obtain_as:follower&recruiting
develop_loyalty_to	respect_as:cause&committing, <obtain_as:loyalist&impressing
feel_sorry_for	<imbue_with:sorrow&saddening
grieve_for	<imbue_with:grief&saddening
identify_with	respect_as:equal&sympathizing
live_next_to	respect_as:neighbour&relocating, obtain_as:neighbour&relocating
marry	respect_as:spouse&marrying, obtain_as:spouse&marrying
mourn_for	<imbue_with:loss&saddening
reconnect_with	seek_as:acquaintance&reconnecting, obtain_as:acquaintance&reconnecting
remarry	respect_as:spouse&remarrying
